user_id,cate,shop_id
11.0,69.0,3230.0
16.0,31.0,3230.0
29.0,75.0,3230.0
34.0,24.0,3230.0
37.0,77.0,3230.0
41.0,47.0,3230.0
58.0,75.0,3230.0
101.0,51.0,3230.0
109.0,81.0,3230.0
131.0,72.0,3230.0
132.0,24.0,3230.0
157.0,34.0,3230.0
168.0,70.0,3230.0
168.0,67.0,3230.0
169.0,51.0,3230.0
176.0,25.0,3230.0
186.0,34.0,3230.0
195.0,27.0,3230.0
199.0,43.0,3230.0
200.0,7.0,3230.0
209.0,72.0,3230.0
211.0,7.0,3230.0
216.0,7.0,3230.0
,,3230.0
224.0,24.0,3230.0
225.0,27.0,3230.0
272.0,24.0,3230.0
289.0,7.0,3230.0
297.0,34.0,3230.0
312.0,44.0,3230.0
313.0,15.0,3230.0
325.0,75.0,3230.0
326.0,24.0,3230.0
327.0,34.0,3230.0
346.0,16.0,3230.0
369.0,81.0,3230.0
386.0,81.0,3230.0
388.0,14.0,3230.0
389.0,12.0,3230.0
392.0,27.0,3230.0
407.0,33.0,3230.0
418.0,41.0,3230.0
426.0,24.0,3230.0
428.0,27.0,3230.0
428.0,63.0,3230.0
450.0,51.0,3230.0
451.0,7.0,3230.0
452.0,75.0,3230.0
454.0,27.0,3230.0
474.0,49.0,3230.0
474.0,37.0,3230.0
480.0,27.0,3230.0
497.0,24.0,3230.0
544.0,41.0,3230.0
558.0,79.0,3230.0
566.0,44.0,3230.0
576.0,7.0,3230.0
584.0,47.0,3230.0
592.0,75.0,3230.0
597.0,64.0,3230.0
608.0,41.0,3230.0
628.0,4.0,3230.0
639.0,75.0,3230.0
652.0,75.0,3230.0
675.0,49.0,3230.0
675.0,61.0,3230.0
689.0,79.0,3230.0
689.0,73.0,3230.0
689.0,62.0,3230.0
690.0,75.0,3230.0
693.0,75.0,3230.0
699.0,34.0,3230.0
709.0,34.0,3230.0
717.0,75.0,3230.0
,,3230.0
730.0,47.0,3230.0
735.0,56.0,3230.0
740.0,27.0,3230.0
754.0,51.0,3230.0
764.0,8.0,3230.0
773.0,12.0,3230.0
777.0,15.0,3230.0
778.0,79.0,3230.0
780.0,75.0,3230.0
789.0,7.0,3230.0
801.0,7.0,3230.0
806.0,75.0,3230.0
807.0,51.0,3230.0
843.0,34.0,3230.0
862.0,15.0,3230.0
867.0,24.0,3230.0
872.0,27.0,3230.0
874.0,12.0,3230.0
882.0,2.0,3230.0
886.0,24.0,3230.0
911.0,34.0,3230.0
914.0,27.0,3230.0
922.0,67.0,3230.0
928.0,34.0,3230.0
935.0,23.0,3230.0
937.0,9.0,3230.0
940.0,27.0,3230.0
947.0,24.0,3230.0
965.0,64.0,3230.0
974.0,66.0,3230.0
976.0,69.0,3230.0
978.0,8.0,3230.0
980.0,43.0,3230.0
981.0,24.0,3230.0
990.0,52.0,3230.0
1006.0,24.0,3230.0
1008.0,64.0,3230.0
1012.0,24.0,3230.0
1015.0,7.0,3230.0
1026.0,73.0,3230.0
1034.0,34.0,3230.0
1038.0,77.0,3230.0
1068.0,24.0,3230.0
1074.0,27.0,3230.0
1076.0,39.0,3230.0
1081.0,28.0,3230.0
,,3230.0
1097.0,75.0,3230.0
1105.0,34.0,3230.0
1115.0,75.0,3230.0
